[2026-01-07 18:27:57.710] [Info] [SystemSettingsMonitor] Starting System Settings monitoring...
[2026-01-07 18:27:59.141] [Info] [WMI] Process ended: ctfmon.exe | EventType=ProcessTerminated, Caption=ctfmon.exe, CommandLine=/QuitInfo:00000000000002D8;00000000000002A4; , Description=ctfmon.exe, Name=ctfmon.exe, ProcessId=20628
[2026-01-07 18:39:35.858] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:36.428] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:39:36.429] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:39:36.518] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=20688
[2026-01-07 18:39:38.329] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:40.753] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:41.096] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=20688
[2026-01-07 18:39:41.443] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:39:41.443] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:39:43.221] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:45.722] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:46.454] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:39:48.199] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:50.166] [Info] [WMI] Process ended: RuntimeBroker.exe | EventType=ProcessTerminated, Caption=RuntimeBroker.exe, Description=RuntimeBroker.exe, Name=RuntimeBroker.exe, ProcessId=22224
[2026-01-07 18:39:50.176] [Info] [WMI] Process started: postgres.exe | EventType=ProcessCreated, Caption=postgres.exe, Description=postgres.exe, Name=postgres.exe, ProcessId=9108
[2026-01-07 18:39:50.621] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:51.319] [Info] [WMI] Process ended: postgres.exe | EventType=ProcessTerminated, Caption=postgres.exe, Description=postgres.exe, Name=postgres.exe, ProcessId=9108
[2026-01-07 18:39:51.467] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:39:53.053] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:55.525] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:57.890] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:39:58.090] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\FileSystem_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=11752
[2026-01-07 18:39:58.090] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=8756
[2026-01-07 18:40:00.333] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:01.501] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:01.501] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:02.780] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:03.662] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=8756
[2026-01-07 18:40:05.238] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:06.510] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:07.653] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:08.192] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\FileSystem_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=11752
[2026-01-07 18:40:09.307] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Registry_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=11124
[2026-01-07 18:40:09.308] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=13552
[2026-01-07 18:40:10.104] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:11.524] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:11.525] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:12.501] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:14.959] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:14.960] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=13552
[2026-01-07 18:40:17.448] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:18.329] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Registry_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=11124
[2026-01-07 18:40:19.792] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:20.515] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Settings_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=18960
[2026-01-07 18:40:20.516] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=912
[2026-01-07 18:40:21.565] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:21.566] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:22.250] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:24.688] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:26.186] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=912
[2026-01-07 18:40:26.580] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:27.124] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:29.610] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:30.672] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\Settings_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=18960
[2026-01-07 18:40:31.605] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:31.605] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:31.759] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\System_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=5392
[2026-01-07 18:40:31.960] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:32.884] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=20320
[2026-01-07 18:40:34.393] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:36.627] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:36.839] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:37.439] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=20320
[2026-01-07 18:40:38.562] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\System_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=5392
[2026-01-07 18:40:39.203] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:39.687] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\System_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=13040
[2026-01-07 18:40:41.647] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:41.647] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:40:41.647] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:44.109] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:46.566] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:49.023] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:51.471] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:53.923] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:56.381] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:40:56.696] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:40:58.848] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:01.274] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:02.294] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, Description=Notepad.exe, Name=Notepad.exe, ProcessId=13040
[2026-01-07 18:41:03.373] [Info] [WMI] Process started: dllhost.exe | EventType=ProcessCreated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=14020
[2026-01-07 18:41:03.373] [Info] [WMI] Process started: Notepad.exe | EventType=ProcessCreated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\WindowsEvents_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=3152
[2026-01-07 18:41:03.645] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:06.129] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:06.726] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
[2026-01-07 18:41:06.727] [Info] [WMI] Disk changed: D: | EventType=DiskChanged, Caption=D:, Description=Local Fixed Disk, DeviceID=D:, Name=D:
[2026-01-07 18:41:08.525] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:09.065] [Info] [WMI] Process ended: dllhost.exe | EventType=ProcessTerminated, Caption=dllhost.exe, CommandLine=C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}, Description=dllhost.exe, Name=dllhost.exe, ProcessId=14020
[2026-01-07 18:41:10.215] [Info] [WMI] Process ended: Notepad.exe | EventType=ProcessTerminated, Caption=Notepad.exe, CommandLine="C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe" "D:\agent log\SystemChangeMonitor\bin\Release\net8.0\win-x64\Logs\WindowsEvents_2026-01-07.log", Description=Notepad.exe, Name=Notepad.exe, ProcessId=3152
[2026-01-07 18:41:10.969] [Info] [WMI] Service changed: pgagent-pg17 | EventType=ServiceModified, Caption=PostgreSQL Scheduling Agent - pgagent-pg17, Description=Provides the ability to schedule tasks within a Postgres database server., Name=pgagent-pg17, ProcessId=6984, State=Start Pending, Status=OK
[2026-01-07 18:41:11.739] [Info] [WMI] Disk changed: C: | EventType=DiskChanged, Caption=C:, Description=Local Fixed Disk, DeviceID=C:, Name=C:
